Holding,Weigth,"One, PRINC R&SF",B RMF,KF RMF,KF-NDQ RMF,KFUSIND RMF,KFSET50 SSF(DY),SCBNDQ SSF(DY),SCB-Semi SSF(DY),SCBSET50 SSF(DY),THB,Port Total,Currency,Year,LTF,RMF (30%),SSF (30%),Tax Saving,,BNB + Bull,Common Stock,กรุงศรี,Finnomena,Capital,,,,History,Capital,Balance,Total Gain,Remark
         เป็นช่วงที่เศรษฐกิจเริ่มกลับมาฟื้นตัวหลังจากผ่านช่วงเวลาที่ตกต่ำมา ซึ่งเป็นช่วงเวลาที่เหมาะสมที่สุดสำหรับการลงทุน เพราะไม่ว่าจะลงทุนอะไรก็มักจะกำไรไปหมด ภาคครัวเรือนและภาคเอกชนมีความมั่นใจในระบบเศรษฐกิจมากขึ้น ทำให้ภาคครัวเรือนมีการจับจ่ายใช้สอยมากขึ้น และภาคเอกชนก็กลับมาลงเพิ่มขึ้นทำให้เศรษฐกิจขยายตัว,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          การจัดพอร์ตหุ้นในช่วงเศรษฐกิจขยายตัวนั้น ควรจัดพอร์ตแบบเชิงรุกลงทุนในหุ้นที่ให้อัตราผลตอบแทนสูงถือเงินสดให้น้อยที่สุด เพราะช่วงเวลานี้ถือเป็นช่วงที่น่าลงทุนที่สุดเพราะราคาหุ้นยังไม่อยู่ในจุดที่แพงมาก กิจการลงทุนอะไรก็มักจะได้ผลกำไร ทำให้สามารถสร้างอัตราผลตอบแทนได้สูงและมีความเสี่ยงที่ต่ำ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.ช่วงเศรษฐกิจรุ่งเรือง (Peak) และ การจัดพอร์ตหุ้นในช่วงเศรษฐกิจรุ่งเรือง,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         เป็นช่วงเวลาที่อยู่ในจุดสูงสุดของระบบเศรษฐกิจ ซึ่งเป็นช่วงที่มีอัตราการจ้างงานสูงที่สุด อัตราการว่างงานต่ำประชาชนมีกำลังการใช้จ่ายที่สูง การจับจ่ายใช้สอยสะพัด ทำให้ภาคการผลิตเริ่มขาดแคลนแรงงานในการผลิต ทำให้ต้องยอมจ้างพนักงานที่มีคุณภาพต่ำและค่าจ้างที่สูงขึ้น ทำให้ต้นทุนในการผลิตสูงขึ้นและผลผลิตคุณภาพต่ำลง เพื่อเพิ่มกำลังการผลิตให้เพียงพอต่อความต้องการของตลาด อัตราเงินเฟ้อสูงก็ปรับตัวสูงขึ้นต่อเนื่องตามลำดับ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         การจัดพอร์ตหุ้นในช่วงเศรษฐกิจรุ่งเรือง ช่วงนี้จะเป็นช่วงที่หุ้นจะให้อัตราผลตอบแทนที่สูงที่สุด แต่ไม่ใช่ช่วงเวลาที่เหมาะสมสำหรับการซื้อหุ้น เพราะราคาหุ้นส่วนมากจะแพงกันหมดแล้ว แต่ถ้าหากเราได้ซื้อหุ้นจากช่วงเศรษฐกิจขยายตัว หุ้นในพอร์ตก็คงมีกำไรมากพอสมควร ให้ทำการขายหุ้นที่มีความเสี่ยงสูงออกจากพอร์ตทำกำไร เพื่อถือเงินสดให้มากขึ้น เพื่อเตรียมพร้อมสำหรับช่วงเศรษฐกิจถดถอยที่กำลังจะมาถึง,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.ช่วงเศรษฐกิจถดถอย (Contraction) และ การจัดพอร์ตหุ้นในช่วงเศรษฐกิจถดถอย,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
เมื่อผ่านจุดสูงสุดของระบบเศรษฐกิจไปแล้วระบบเศรษฐกิจจะเข้าสู่สภาวะถดถอย ในช่วงนี้จะตัวเลขทางด้านเศรษฐกิจที่เคยปรับตัวขึ้นต่อเนื่องจะค่อยๆปรับตัวลดลง เช่น อัตราการจ้างงานต่ำลง การใช้จ่ายของภาคครัวเรือนต่ำลง ซึ่งเกิดจากหลายปัจจัยเช่น อัตราเงินเฟ้อที่สูงขึ้นทำให้ข้าวของเครื่องใช้มีราคาสูง ส่งผลให้ภาคครัวเรือนไม่มีกำลังซื้อที่เพียงพอ ซึ่งมีผลทำให้ภาคการผลิตขายสินค้าไม่ได้ จึงต้องลดกำลังการผลิตลง และไม่เกิดการจ้างงานเพิ่ม มีผลทำให้เศรษฐกิจถดถอย หากในภาครัฐบาลและภาคเอกชนเตรียมพร้อมรับมือกับช่วงถดถอย การถดถอยจะเป็นแบบค่อยเป็นค่อยไป แต่ถ้าหากไม่มีการเตรียมการจะถดถอยจะรวดเร็วและรุนแรง,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
การจัดพอร์ตหุ้นในช่วงเศรษฐกิจถดถอย ในช่วงนี้ควรเหลือถือเฉพาะหุ้นกลุ่มที่ได้รับผลกระทบน้อยจากการถดถอยของระบบเศรษฐกิจ เช่น หุ้นในกลุ่มที่สินค้าที่มีความจำเป็นต่อการดำเนินชีวิต เช่น อาหาร ยารักษาโรค โรงพยาบาล เป็นต้น และควรเลือกหุ้นที่จ่ายเงินปันผลมาก เพราะการรับเงินปันผลเลยจะช่วยลดความเสี่ยงของพอร์ตลงเพราะเราจะได้รับกระแสเงินสดกลับมาเก็บบ้าง เพราะว่าการลงทุนอะไรในช่วงนี้ของกิจการมักเป็นไปด้วยความยากลำบาก การลงทุนในช่วงเศรษฐกิจถดถอยควรถือเงินสดให้มากกว่าหุ้น,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
