Holding,Weigth,"One, PRINC R&SF",B RMF,KF RMF,KF-NDQ RMF,KFUSIND RMF,KFSET50 SSF(DY),SCBNDQ SSF(DY),SCB-Semi SSF(DY),SCBSET50 SSF(DY),THB,Port Total,Currency,Year,LTF,RMF (30%),SSF (30%),Tax Saving,,BNB + Bull,Common Stock,กรุงศรี,Finnomena,Capital,,,,History,Capital,Balance,Total Gain,Remark
COIN,1.81%,"New generation finance infra , Coinbase One รายได้แบบ subscription",,,,,,,,,,84406.9,TSLA,2025,0,150000,0,150000,,เจ๊ง LTF (18422),,,,,,,,,,,,
SHOP,5.09%,"Full-stack e-commerce, Counter position e-com platform",,,,,,,,,,238140.4,,Tax Saving,,1045500,630000,"1,675,500",,เจ๊งหุ้นซิ่ง,,,,,,,,,,,,
RDDT,2.05%,สถานที่สุดท้ายที่มนุษย์จะพูดคุยกัน + (Anti เนื้อหาจาก AI หรือสึกถึงความขาด effort),,,,,,,,,,95639.6,,,,,,,,เจ๊ง Options,1318,,,,,,,,,,,
DDOG,0.00%,"ยุคสมัยแห่ง workload ต้อง monitor ให้ครอบคลุม (Dev, Sec, Ops)",,,,,,,,,,0.0,,,,,,,,ทุนจม,9332.5,304239.50,,,,,,,,,,
NET,7.82%,"Multicloud, network secure, R2 , Ai inferrence , New internet, Micro payment",,,,,,,,,,365538.3,,,,,,,,,,,,,,,,,,,,
,0.00%,"เติบโตตามอุปกรณ์ digital แว่น นาฬิกา, รถยนต์ , Physical AI Robotic, Inference CPU",,,,,,,,,,0.0,ARM,,,,,,,,,,,,,,,,,,,
,0.00%,,,,,,,,,,,0.0,SOI,,,,,,,,,,,,,,,,,,,
MRVL,1.72%,"ScaleUP  Pcie6 เป็นผู้ผลิตรายใหญ่, CXL กำลังเติบโตในการ infer, Serdes ขยายสาย AEC, UALink",,,,,,,,,,80212.6,TSEM,,,,,,,,,,,,,,,,,,,
LITE,1.87%,"EML lasor, OCS, CPO",,,,,,,,,,87522.9,GLW,,,,,,,,,,,,,,,,,,,
COHR,1.11%,"Laser, Optic transceiver , OCS , CPO ",,,,,,,,,,52086.0,,,,,,,,,,,,,,,,,,,,
SCHD,0.00%,ปันผล US,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
GRID,2.58%,,,,,,,,,,,120498.7,,,,,,,,,,,,,,,,,,,,
Total,94.04%,21.52%,15.33%,22.47%,7.28%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asset,(เงินสด = ทรัพย์สินหมุนเวียน - หนี้ระยะยาว),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE แท้จริง,เงินสด ต่อหุ้น - ราคาต่อหุ้น === ราคาแท้จริง หาร กำไรต่อหุ้น.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company Growth,Percent EPSG + Percent DY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% increase,Increase ÷ Original Number × 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
มูลค่าของกิจการ ( Market Cap ) = FCFn/(R%-G%)/(1.0R)^n– หนี้ของบริษัท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าปัจจุบันสุดท้าย (Terminal Value) = ประมาณการรายได้ปีสุดท้าย x (1+ Terminal Growth Rate) / (Discount Rate – Terminal Growth Rate),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discount Rate (R),ต้นทุนเงินลงทุนของบริษัท เช่นดอกเบี้ยของหนี้,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terminal Growth (G),อัตราการเติบโตของ FCF ระยะยาวมักไม่เกิน GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Future Value,FV = PV x ( 1 + i ) ^ n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Return on Capital Employed(ROCE) = Earnings Before Interest and Tax (EBIT) ÷ (Total Assets - Current Liabilities) , exam (0.25 = US$77b ÷ (US$383b - US$78b))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
หุ้นคือธุรกิจ ซื้อเพื่อเป็นเจ้าของ,,,,,Biased Judments (ตัดสินใจแบบอคติ),,,,,,,,,,,,,,,,,,,,,,,,,,,
1. อนาคตระยะยาวของบริษัท. Competitive Capable,,,,,Herd Mentality (ความคิดโน้มเอียงตามฝูงชน)  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. คุณภาพผู้บริหาร,,,,,Loss Aversion (การหลีกเลี่ยงความสูญเสีย),,,,,,,,,,,,,,,,,,,,,,,,,,,
3. ความแข็งแกร่งทางการเงิน,,,,,Pride and Regret (แสวงหาความภาคภูมิใจ หลีกเลี่ยงความเสียใจ),,,,,,,,,,,,,,,,,,,,,,,,,,,
4. ประวัติการจ่ายปันผล ROE > 20%,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. นโยบายจ่ายปันผลในปัจจุบัน,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. PE ควรน้อยกว่าอัตราการเติบโตของกำไร เฉลี่ย 3-5 ปี,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
หุ้นโตช้า PE 5-10 หวังปันผล,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
หุ้นแข็งแกร่ง PE 10-15 โต 10-20% หวังปันผล ขาลงไม่รุนแรง (ขายเมื่อ PE ฉีกมากเกินไป แล้วซื้อคืนภายหลัง),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
หุ้นโตเร็ว PE 15-20 โต 20+% หวัง Capital Gain หรือหุ้น 10 เด้ง (ขายเมื่อเริ่มชะลอตัว),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
หุ้นฟื้นตัว บริษัทฟื้นจากความตาย ตัดแขนขา พลิกฟื้นกิจการ มักจะเด้งกลับรุนแรง (เริ่มขายเมื่อมันฟื้นตัวแล้ว ให้จัดกลุ่มหุ้นใหม่),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
หุ้นทรัพย์สินมาก. ราคาหุ้นต่ำกว่าทรัพยสินที่มี ต้องถือยาวนาน แล้วรอให้มันเจ๊ง,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
หุ้นวัฐจักร (เริ่มขายเมื่อโรงงานเริ่มเต็มกำลังการผลิต หรือเริ่มใช้เงินเพื่อขยายกำลังการผลิต หรือสินค้าคงคลังกำลังเพิ่มขึ้น),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,# Durable Competitive Advantage,,,,,,,,,,,,,,,,,,
The Intelligent Investor,,,,,ลงทุนแบบ warren buffet,,,,,,,,,1. Intangible assets,,,,,,,,,,,,,,,,,,
# การวิเคราะห์หุ้นสามัญสำหรับนักลงทุนทั่วไป,,,,,1. หุ้นสร้างกระแสเงินสดอิสระในอนาคตได้อย่างต่อเนื่อง,,,,,,,,,* Brand และอำนาจตั้งราคา (net margin เทียบกับคู่แข่ง),,,,,,,,,,,,,,,,,,
1. อนาคตระยะยาวของบริษัท,,,,,2. ศักยภาพการแข่งขันในระยะยาวอย่างยั่งยืนหรือที่เรียกว่า Durable Competitive Advantage (DCA),,,,,,,,,*  สิทธิบัตร ( เมื่อสิทธิบัตรหมดอายุ คู่แข่งจะเข้ามาได้ง่ายแค่ไหน ),,,,,,,,,,,,,,,,,,
2. ความสามารถทำกำไรอย่างยั่งยืน,,,,,3. เลือกหุ้นที่เข้าใจ circle of competence,,,,,,,,,* กฎระเบียบ (การถูกควบคุมราคา การผูกขาด),,,,,,,,,,,,,,,,,,
Bad,,,,,4. เจ้ามือของตลาดหุ้นคือผลประกอบการ,,,,,,,,,,,,,,,,,,,,,,,,,,,
ซื้อกิจการบ่อยๆ มักขายทิ้งเพราะซื้อมาแพงเกินไป,,,,,5. ลงทุนแบบตีเบสบอลโฮมรัน,,,,,,,,,2. Cost advantage,,,,,,,,,,,,,,,,,,
ก่อหนี้และเพิ่มทุนตลอดเวลา,,,,,6. ลงทุนระยะยาวกับธุรกิจที่ยอดเยี่ยม,,,,,,,,,* Economies of scale (ต้นทุนคงที่ ต้นทุนต่ำกว่าคู่แข่ง),,,,,,,,,,,,,,,,,,
บริษัทมีรายได้จากลูกค้ารายเดียว,,,,,7. ลงทุนในหุ้นที่มีผู้บริหารมีความสามารถ เข้าใจถ่องแท้ในธุรกิจ และที่สำคัญที่สุดต้องเป็นคนซื่อสัตย์,,,,,,,,,* Economies of scope (ต้นทุนส่วนใดบ้างที่สามารถเฉลี่ยไปให้สินค้าตัวอื่นได้),,,,,,,,,,,,,,,,,,
Good,,,,,8. ลงทุนในหุ้นโดยใช้ส่วนเผื่อความปลอดภัย,,,,,,,,,* ค่าขนส่งที่ถูกกว่า เป็นเจ้าของทรัพยากรที่ได้เปรียบ ความได้เปรียบในการเข้าถึงวัตถุดิบ,,,,,,,,,,,,,,,,,,
"มีความได้เปรียบเชิงการแข่งขันแข็งแกร่ง (Brand, Economies of scale, สูตรลับ, ความหายาก)",,,,,9. เน้นซื้อหุ้นที่มีคุณภาพในราคาที่เหมาะสม,,,,,,,,,* มีกระบวนการผลิตเฉพาะตน และไม่สามารถลอกเลียนแบบได้,,,,,,,,,,,,,,,,,,
บริษัทเป็นนักวิ่งมาราธอน,,,,,10. ลงทุนอย่างต่อเนื่อง แม้ในช่วงเกิดวิกฤติเศรษฐกิจ ก็หาโอกาสลงทุนตอนหุ้นราคาปรับตัวลงมาต่ำกว่ามูลค่าพื้นฐานมากๆ,,,,,,,,,* มีอำนาจต่อรองกับซัพพลายเออร์ จนทำให้มีความได้เปรียบทางด้านต้นทุน,,,,,,,,,,,,,,,,,,
บริษัทใช้งบ R&D เหมาะสม,,,,,11. Nagative capital ลูกค้าจ่ายเงินล่วงหน้า สินค้าคงคลังไม่มี asset น้อย หนี้น้อย,,,,,,,,,,,,,,,,,,,,,,,,,,,
Five Force ดี สินค้าขึ้นราคาได้,,,,,# Five Forces Model,,,,,,,,,3. Switching costs,,,,,,,,,,,,,,,,,,
,,,,,1. คู่แข่งรายใหม่ เข้ามาแข่งขันกับบริษัท ได้ยากหรือง่าย ?,,,,,,,,,* ต้นทุนการเปลี่ยนย้ายที่สูง มักจะแสดงให้เห็นจากอัตราซื้อซ้ำ,,,,,,,,,,,,,,,,,,
2. คุณภาพของผู้บริหาร,,,,,2. การแข่งขันภายในอุตสาหกรรม เป็นอย่างไร ?,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าตอบแทนไม่สูงจนเกินไป,,,,,3. สินค้าของบริษัท จะถูกทดแทนได้ง่ายหรือยาก ?,,,,,,,,,4. Network effect,,,,,,,,,,,,,,,,,,
พวกเขาเป็นผู้บริหาร หรือคนขายฝัน,,,,,4. ซัปพลายเออร์ของบริษัท มีอำนาจต่อรองขนาดไหน ?,,,,,,,,,* คุณค่าของสินค้าหรือบริการจะเพิ่มขึ้นอย่างไรเมื่อลูกค้าและซัพพลายออร์เข้ามาร่วมในเครือข่ายมากขึ้น,,,,,,,,,,,,,,,,,,
,,,,,5. ฝั่งลูกค้า มีอำนาจต่อรองกับบริษัท มากหรือน้อย ?,,,,,,,,,"* หากอำนาจต่อรองของซัพพลายเออร์และลูกค้าสูง 
เนื่องจากบริษัทต้องการสองกลุ่มนี้มาเพิ่มคุณค่าให้แก่เครือข่าย บริษัทก็อาจจะไม่สามารถทำเงินได้จากเครือข่ายมากพอ",,,,,,,,,,,,,,,,,,
3. ความแข็งแกร่งทางการเงิน,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
การเติบโตของผลกำไรสม่ำเสมอ,,,,,# ความเสี่ยง,,,,,,,,,5. Efficient scale,,,,,,,,,,,,,,,,,,
หนี้สินระยะยาวต่ำกว่า 50% ของเงินลงทุน ดอกเบี้ยคงที่ หรือลอยตัว,,,,,บริษัทมีปัญหาเรื่องสัญญา หรือสัมปทาน ที่ใกล้จะหมดอายุหรือไม่ ?,,,,,,,,,* ตลาดมีขนาดจำกัด จนมีผู้เล่นหยืบมือเดียว ,,,,,,,,,,,,,,,,,,
,,,,,บริษัทพึ่งพาการขายสินค้าแค่ไม่กี่อย่างหรือไม่ ?,,,,,,,,,* คู่แข่งหน้าใหม่ก็จะถูกขัดขวางเนื่องจากการเข้ามาจะทำให้ผลตอบแทนลดลงไปต่ำกว่าต้นทุนของเงินทุน,,,,,,,,,,,,,,,,,,
4. ประวัติการจ่ายปันผล,,,,,บริษัทพึ่งพาลูกค้าจำนวนน้อยรายเกินไปหรือไม่ ?,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. นโยบายการจ่ายปันผล,,,,,บริษัทพึ่งพาความสามารถของผู้บริหาร มากเกินไปหรือไม่ และมีแผนการในการแก้ปัญหาอย่างไร ?,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,บริษัทมีปัญหาเรื่องคดีความ และข้อพิพาททางกฎหมาย ที่จะส่งผลร้ายต่อบริษัท อยู่หรือไม่ ?,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
